FileName,ItemTitle
uclalsc_uars100_001_001,Exterior of the Harbor General Hospital
uclalsc_uars100_002_001,Model of the UCLA medical center
uclalsc_uars100_002_002,Labelled model of the UCLA medical center
uclalsc_uars100_002_003,Drawing of the UCLA medical center
uclalsc_uars100_002_004,Model of the three stories medical center
uclalsc_uars100_002_005,Labelled model of the UCLA medical center
uclalsc_uars100_002_006,Model of the UCLA medical center
uclalsc_uars100_002_007,Model of the UCLA medical center and surrounding driveway 
uclalsc_uars100_002_008,Model of the UCLA medical center and surrounding driveway
uclalsc_uars100_002_009,Research and Development Laboratory model
uclalsc_uars100_016_036,"Looking northeast at UCLA Medical Center during construction, May 4, 1952"
uclalsc_uars100_016_037,"Looking northeast at UCLA Medical Center during construction, April 12, 1952"
uclalsc_uars100_016_038,"Looking southwest at UCLA Medical Center during construction, April 12, 1952"
uclalsc_uars100_016_039,"Looking southwest from northeast wing, March 9, 1952"
uclalsc_uars100_016_040,"Looking northwest from southeast wing, March 9, 1952"
